WKT,fid,COUNTRY,NAME,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,CAT_MOD,STATE
POINT (-155.9648986 19.5643074),9064895,US,Heeia,78-111A Holua Rd,"Kailua Kona, HI  96740",United States,,,travel_and_leisure.beach,HI
POINT (-157.9208333 21.6263889),9068504,US,Kalela Beach,55-089 Kamehameha Hwy,"Laie, HI  96731",United States,,,travel_and_leisure.beach,HI
POINT (-111.6633524 45.417515),9074078,US,Kobayashi Beach,,,,,,travel_and_leisure.beach,MT
POINT (-83.3072665 41.941398),9078378,US,Woodland Beach,3670 Fernwood Dr,"Monroe, MI 48162",United States,,,travel_and_leisure.beach,MI
POINT (-88.1479654 46.9653642),9078969,US,Public Shoreline Beach-blind Sucker Flooding Area,Point Abbaye Rd,MI,United States,,,travel_and_leisure.beach,MI
POINT (-158.1653116 21.3969614),9082191,US,Ulehawa Beach Park,87-1411–87-1451 Farrington Hwy,"Nānākuli, HI  96707",United States,,,travel_and_leisure.beach,HI
POINT (-81.3945617 30.3245457),9082554,US,Jacksonville Beach/Neptune Beach,120 Atlantic Blvd,"Neptune Beach, FL  32266",United States,,,travel_and_leisure.beach,FL
POINT (-72.36601 41.0929649),9085918,US,Fifth Street Beach,Sixth St,"Greenport, NY  11944",United States,,,travel_and_leisure.beach,NY
POINT (-122.4986252 47.5994846),9087751,US,Rockaway beach,3992 Rockaway Beach Rd NE,"Bainbridge Island, WA  98110",United States,,,travel_and_leisure.beach,WA
POINT (-83.9454499 34.3120221),9093134,US,Little Hall Beach,"Gainesville, GA  30501",United States,,,,travel_and_leisure.beach,GA
POINT (-94.4794714 38.905286),9093661,US,Longview Lake Beach,"11101 Raytown Road,
Kansas City, MO  64134
Estados Unidos",,,,,travel_and_leisure.beach,MO
POINT (-155.9666702 19.579289),9099779,US,Kahalu'u Beach Park,"78-6702 Alii Dr
Kaulia-Kona, HI 96740
United States",,,,,travel_and_leisure.beach,HI
POINT (-83.9474259 34.3399849),9103577,US,Bolding Mill Day Use Beach,6349 Old Dawsonville Rd,"Gainesville, GA  30506",United States,,,travel_and_leisure.beach,GA
POINT (-75.8711241 39.3658563),9105527,US,Gregg Neck Beach,Sassafras River,"Galena, MD",United States,,,travel_and_leisure.beach,MD
POINT (-78.4374046 33.8861459),9111050,US,Ocean Isle Beach,"Ocean Isle Beach, NC
United States",,,,,travel_and_leisure.beach,NC
POINT (-121.8197505 36.8661872),9116552,US,Palm Beach,W Beach Rd and Rio Boca Rd,"Watsonville, CA 95076",United States,,,travel_and_leisure.beach,CA
POINT (-71.467537 43.3409822),9119765,US,Lakewood Beach,827 Route 106 N,"Loudon, NH  03307",United States,,,travel_and_leisure.beach,NH
POINT (-122.3537546 47.9839903),9136767,US,N Randal Point,6203–6299 Brighton Beach Rd,"Clinton, WA  98236",United States,,,travel_and_leisure.beach,WA
POINT (-122.541009 48.577595),9137403,US,Samish Island Public Beach,4603–4699 Wharf St,"Bow, WA  98232",United States,,,travel_and_leisure.beach,WA
POINT (-122.6792085 37.9068163),9138408,US,Seadrift Beach,2 Dipsea Rd,"Stinson Beach, CA  94965",United States,,,travel_and_leisure.beach,CA
POINT (-70.9824847 42.424951),9139345,US,Revere,437 Revere Beach Blvd,"Revere, MA  02151",United States,,,travel_and_leisure.beach,MA
POINT (-74.1127845 39.9689874),9142568,US,Shelter Island,Bay Ave,"Toms River, NJ  08753",United States,,,travel_and_leisure.beach,NJ
POINT (-80.0879406 42.1725244),9146110,US,Beach 10,"Erie, PA  16505",United States,,,,travel_and_leisure.beach,PA
POINT (-160.0807142 21.997719),9147200,US,Keamano Beach,Keymano Bay,"Lehua, HI 96704",United States,,,travel_and_leisure.beach,HI
POINT (-81.3895941 30.2951188),9147358,US,Jacksonville Beach,11 North Third Street,"Jacksonville Beach, FL 32250",United States,,,travel_and_leisure.beach,FL
POINT (-77.5951097 43.2528461),9158889,US,Bateau Terrace Beach,,,,,,travel_and_leisure.beach,NY
POINT (-92.0212269 45.5436743),9160566,US,Cumberland Lakeside Beach Park,1151-1159 Lake St,"Cumberland, WI 54829",United States,,,travel_and_leisure.beach,WI
POINT (-75.072211 38.3564674),9162300,US,28th Street Beach,,,,,,travel_and_leisure.beach,MD
POINT (-76.6577011 34.7068661),9172719,US,Knob Island,Carrot Island,NC,United States,,,travel_and_leisure.beach,NC
POINT (-123.93145 45.993988),9173121,US,Seaside Beach,"7 N Roosevelt Dr
Seaside, OR 97138
United States",,,,,travel_and_leisure.beach,OR
POINT (-72.3928053 41.2687899),9176013,US,Town Beach,105 Plum Bank Rd,"Old Saybrook, CT 06475",United States,,,travel_and_leisure.beach,CT
POINT (-118.5130556 34.0233333),9177951,US,Palisades Beach,Ocean Front Walk,"Santa Monica, CA  90402",United States,,,travel_and_leisure.beach,CA
POINT (-120.9054734 35.4483405),9180688,US,Cayucos State Beach,101–299 Ocean Front Ave,"Cayucos, CA 93430",United States,,,travel_and_leisure.beach,CA
POINT (-66.1845314 18.4604911),9181581,US,Playa Boca Vieja,PR-165,"Toa Baja, PR  00949",United States,,,travel_and_leisure.beach,PR
POINT (-93.4292901 44.9102604),9182810,US,Shady Oak Beach,5200 Shady Oak Rd S,"Minnetonka, MN 55343",United States,,,travel_and_leisure.beach,MN
POINT (-121.4231004 38.5818125),9185854,US,Paradise Beach,5211 Carlson Dr,"Sacramento, CA 95819",United States,,,travel_and_leisure.beach,CA
POINT (-91.1162517 44.7660178),9186742,US,Lake Eau Claire County Beach,E20455 CTH-ND,"Boyd, WI  54722",United States,,,travel_and_leisure.beach,WI
POINT (-156.5966352 20.8037954),9193846,US,Ka'ili'ili Beach,RT-30,HI,United States,,,travel_and_leisure.beach,HI
POINT (-80.5856609 28.1620462),9200535,US,Magellan Beach,,,,,,travel_and_leisure.beach,FL
POINT (-80.1565998 25.6923055),9202818,US,Grand Bay Beach,455 Grand Bay Dr,"Key Biscayne, FL  33149",United States,,,travel_and_leisure.beach,FL
POINT (-65.9721065 18.4551248),9204808,US,Playa La Pocita De Pinones,,,,,,travel_and_leisure.beach,PR
POINT (-73.6556053 40.5828336),9205869,US,Monroe Beach,Boardwalk,"Long Beach, NY  11561",United States,,,travel_and_leisure.beach,NY
POINT (-74.9640644 38.9590086),9206578,US,Higbee Beach,Cape Island,United States,,,,travel_and_leisure.beach,NJ
POINT (-71.3597979 41.4600615),9208609,US,Collins Beach,20 Ocean Ave,"Newport, RI 02840",United States,,,travel_and_leisure.beach,RI
POINT (-70.8414361 42.5081515),9208993,US,Fort Beach,11 Ft Sewall Ln,"Marblehead, MA  01945",United States,,,travel_and_leisure.beach,MA
POINT (-77.7418832 38.3318247),9214265,US,Cumberland Beach,120 Cumberland Cir,"Locust Grove, VA  22508",United States,,,travel_and_leisure.beach,VA
POINT (-80.6030693 28.2523117),9215651,US,2nd Light Beach,700–704 S Atlantic Ave,"Cocoa Beach, FL   32925",United States,,,travel_and_leisure.beach,FL
POINT (173.1650443 52.9609757),9215854,US,Red Beach,Attu Island,AK,United States,,,travel_and_leisure.beach,ME
POINT (-70.6624854 42.1066284),9221228,US,Fieldston Beach,110 Old Beach Rd,"Marshfield, MA  02050",United States,,,travel_and_leisure.beach,MA
POINT (-82.5195452 27.2429455),9223351,US,Beachyville,1512 Caribbean Dr,"Sarasota, FL  34231",United States,,,travel_and_leisure.beach,FL
POINT (-69.685831 43.824644),9223518,US,Hendricks Head Beach,88–98 Beach Rd,"Newagen, ME  04576",United States,,,travel_and_leisure.beach,ME
POINT (-85.0964481 45.5977142),9223554,US,Private Shoreline Beach-southern County Border,"Harbor Springs, MI  49740",United States,,,,travel_and_leisure.beach,MI
POINT (-157.9140951 21.6209527),9223875,US,Kaipapaʻu Beach,"54-245 Kamehameha Hwy
Hauula, HI  96717
United States",,,,,travel_and_leisure.beach,HI
POINT (167.7366168 8.7301536),9225702,US,Beach Purple Three,,,,,,travel_and_leisure.beach,PR
POINT (-92.8537738 45.3883467),9226720,US,Lindstrom Beach Park,,,,,,travel_and_leisure.beach,MN
POINT (-90.878849 46.737783),9227058,US,Friendly Valley Beach,"Washburn, WI  54891",United States,,,,travel_and_leisure.beach,WI
POINT (-71.4896691 43.5182372),9229865,US,Winnisquam Lake Tb,43 Leslie Roberts Dr,"Laconia, NH  03220",United States,,,travel_and_leisure.beach,NH
POINT (-77.3069932 39.4105258),9231329,US,Coldstream Beach,6659 Coldstream Dr,"New Market, MD  21774",United States,,,travel_and_leisure.beach,MD
POINT (-86.6097886 30.4189611),9237875,US,georgia thomas,,,,,,travel_and_leisure.beach,FL
POINT (-72.1000417 41.3370561),9239775,US,Green Harbor Beach,178 Pequot Ave,"New London, CT  06320",United States,,,travel_and_leisure.beach,CT
POINT (-91.5321743 41.7270952),9239807,US,Coralville Dam Beach,,,,,,travel_and_leisure.beach,IA
POINT (-75.9474221 39.4953138),9240837,US,Sandy Hill Beach,7790 Sandy Hill Way,"North East, MD  21921",United States,,,travel_and_leisure.beach,MD
POINT (-156.7401905 21.114498),9241551,US,Honouli Malo'o,11248–11360 Kamehameha V Hwy,HI  96729,United States,,,travel_and_leisure.beach,HI
POINT (-90.5947876 46.6045582),9242481,US,Waverly,75800–75880 Lake Rd,"Ashland, WI  54806",United States,,,travel_and_leisure.beach,WI
POINT (-71.0510652 42.3079923),9245497,US,Savin Hill Beach,23 Bayside St,"Boston, MA  02125",United States,,,travel_and_leisure.beach,MA
POINT (-78.1099606 33.9086853),9246377,US,Oak Island Beach,5227 E Beach Dr,"Oak Island, NC 28465",United States,,,travel_and_leisure.beach,NC
POINT (-119.929043 39.1956694),9248129,US,Sand Harbor Beach,"Washoe Valley, NV  89704",United States,,,,travel_and_leisure.beach,NV
POINT (-74.0667289 39.9639068),9248170,US,Lavallette Beach,2000–2006 Ocean Ave Frnt,"Lavallette, NJ  08735",United States,,,travel_and_leisure.beach,NJ
POINT (-88.1618558 46.9356466),9249995,US,Private Shoreline Beach- North County Border,Camp Ground Rd,MI,United States,,,travel_and_leisure.beach,MI
POINT (-67.2642187 18.3496719),9256442,US,Playa Escalera,"Rincón, PR  00677",United States,,,,travel_and_leisure.beach,PR
POINT (-157.9177092 21.6474063),9258167,US,Laniloa Beach,55-427 Kamehameha Hwy,"Laie, HI 96762",United States,,,travel_and_leisure.beach,HI
POINT (-73.3149755 41.1167528),9258422,US,Burying Hill Beach,36 Beachside Ave,"Westport, CT  06880",United States,,,travel_and_leisure.beach,CT
POINT (-88.8594168 40.1350357),9258632,US,Scrub Beach,"Clinton, IL  61727",United States,,,,travel_and_leisure.beach,IL
POINT (-73.9441252 40.5759562),9260613,US,Manhattan Beach,"Oriental Blvd
Brooklyn, NY 11235
United States",,,,,travel_and_leisure.beach,NY
POINT (-64.7453037 18.3568329),9261959,US,Maho Beach,North Shore Rd,"Virgin Islands, VA 00830",United States,,,travel_and_leisure.beach,PR
POINT (-124.1134554 44.2782844),9265450,US,Spouting Horn,"2301-2399 Oregon Coast Hwy
Yachats, OR 97498
United States",,,,,travel_and_leisure.beach,OR
POINT (-72.3286614 41.2807047),9272813,US,Poverty Island Beach,Great Island,CT,United States,,,travel_and_leisure.beach,CT
POINT (-69.9988872 43.7575521),9275425,US,Stover's Point Preserve,69 Windsor Ln,"Harpswell, ME  04079",United States,,,travel_and_leisure.beach,ME
POINT (-71.2466718 41.7006655),9275894,US,Juniper Trail Beach,16–28 Harrison St,"Bristol, RI  02809",United States,,,travel_and_leisure.beach,RI
POINT (-86.2159036 42.664381),9278993,US,Oval Beach,690 Perryman St,Saugatuck MI  49453,United States,,,travel_and_leisure.beach,MI
POINT (-121.8935967 36.3327031),9280054,US,Little Sur River Beach,"Big Sur, CA  93923",United States,,,,travel_and_leisure.beach,CA
POINT (-72.9493824 41.2562118),9282045,US,Oak Street B Beach,1 Palace St,"West Haven, CT  06516",United States,,,travel_and_leisure.beach,CT
POINT (-84.344583 42.117781),9282204,US,Clark Lake Public Beach,195 Hyde Rd,"Clarklake, MI  49234",United States,,,travel_and_leisure.beach,MI
POINT (-80.6053537 28.357955),9284170,US,Alan Shepard Park,299 E Cocoa Beach Cswy,"Cocoa Beach, FL 32931",United States,,,travel_and_leisure.beach,FL
POINT (-76.4335316 39.1141708),9284913,US,Dog Beach,8311 John Downs Loop,"Pasadena, MD  21122",United States,,,travel_and_leisure.beach.dog_beach,MD
POINT (-83.4491475 45.0405269),9294091,US,Private Shoreline Beach-north Of Pt Betsie,624 Thunder Bay Ave,"Alpena, MI  49707",United States,,,travel_and_leisure.beach,MI
POINT (-86.5252411 30.3879063),9295939,US,Eglin AFB Beach Park,,,,,,travel_and_leisure.beach,FL
POINT (-66.0698038 18.4567701),9298524,US,Beach Rental Area,1309 Avenida Ashford,"San Juan, PR  00907",United States,,,travel_and_leisure.beach,PR
POINT (-90.8841991 46.748523),9298986,US,Sioux River Beach North,Lake Superior,"Bayview, WI",United States,,,travel_and_leisure.beach,WI
POINT (-87.6714456 42.0429029),9300266,US,Greenwood Street Beach,1401 Sheridan Rd,"Evanston, IL  60201",United States,,,travel_and_leisure.beach,IL
POINT (-76.2178645 43.545133),9309628,US,Chedmardo,93 N Ramona Beach Rd,"Pulaski, NY  13142",United States,,,travel_and_leisure.beach,NY
POINT (-74.6530223 41.0331923),9310399,US,LMCC Beach 11A,"7 Woodbine Terr
Sparta, NJ 07871
United States",,,,,travel_and_leisure.beach,NJ
POINT (-96.662667 28.6931058),9311924,US,Six Mile Road,Park Rd,"Port Lavaca, TX  77979",United States,,,travel_and_leisure.beach,TX
POINT (-85.4519292 44.8476951),9315332,US,Maple Bay Beach,10875 US-31,"Williamsburg, MI  49690",United States,,,travel_and_leisure.beach,MI
POINT (-123.5338353 38.7690332),9324607,US,Gualala River,39010 Ocean Dr,"Gualala, CA  95445",United States,,,travel_and_leisure.beach,CA
POINT (-159.5844412 21.8981468),9325714,US,Glass Beach,"Eleele, HI",United States,,,,travel_and_leisure.beach,HI
POINT (-174.2014293 52.2179851),9327146,US,Tugimagix,"Atka, AK",United States,,,,travel_and_leisure.beach,AK
POINT (-96.9095635 39.1561798),9334031,US,Nudie Beach,"Milford, KS  66514",United States,,,,travel_and_leisure.beach,KS
POINT (-158.13032 56.49905),9334175,US,Hook Bay Spit,"Lake And Peninsula Borough, AK",United States,,,,travel_and_leisure.beach,AK
POINT (-71.7511901 43.452839),9334465,US,Highland Lake Tb,Highland Lake,"Andover, NH",United States,,,travel_and_leisure.beach,NH
POINT (-123.944428 45.7283822),9336701,US,Manzanita Beach,"Tillamook County, OR",United States,,,,travel_and_leisure.beach,OR
POINT (-123.2428207 38.5119216),9336804,US,Clam Beach,Fort Ross Reef Trail,"Jenner, CA  95450",United States,,,travel_and_leisure.beach,CA
POINT (-71.1046261 43.7025095),9338148,US,Duncan Lake Tb,15 Gile Rd,"Ossipee, NH  03864",United States,,,travel_and_leisure.beach,NH
POINT (-71.597135 42.182585),9339235,US,Kiwanis Beach,99 Kiwanis Beach Rd,"Upton, MA  01568",United States,,,travel_and_leisure.beach,MA
POINT (-116.0991436 44.9539454),9340581,US,Sylvan Beach,2590 Warren Wagon Rd,"McCall, ID  83638",United States,,,travel_and_leisure.beach,ID
POINT (-80.1101293 26.0752624),9343269,US,John U. Lloyd Beach State Park,"Dania, FL  33004",United States,,,,travel_and_leisure.beach,FL
POINT (-88.7308333 47.9930556),9348771,US,Little Greenstone Beach,Isle Royale,MI,United States,,,travel_and_leisure.beach,MI
POINT (-88.241929 30.384875),9350427,US,Bayou La Batre Beach,8481 SR-188,"Coden, AL  36523",United States,,,travel_and_leisure.beach,AL
POINT (-83.5328998 46.0113339),9353004,US,Sand Bay Beach-drummond Island,Drummond Island,MI,United States,,,travel_and_leisure.beach,MI
POINT (-87.5657618 41.7727033),9356543,US,Sixty-seventh Street Beach,Lakefront Trail,"Chicago, IL  60649",United States,,,travel_and_leisure.beach,IL
POINT (-117.2538035 32.7837605),9356600,US,Top Of The Beach,725 Redondo Ct,"San Diego, CA 92109",United States,,,travel_and_leisure.beach,CA
POINT (-78.8256651 33.7343243),9358645,US,Canepatch Swash,6402 N Ocean Blvd,"Myrtle Beach, SC  29572",United States,,,travel_and_leisure.beach,SC
POINT (-70.7609224 42.5686323),9362655,US,Singing Beach,121 Beach St,"Manchester, MA  01944",United States,,,travel_and_leisure.beach,MA
POINT (-72.1987635 41.3176292),9369621,US,McCook Beach,8-10 Atlantic St.,"Niantic, CT 06357",United States,,,travel_and_leisure.beach,CT
POINT (-71.1770149 42.1108804),9370400,US,Memorial Park Beach,1 Beach St,"Sharon, MA  02067",United States,,,travel_and_leisure.beach,MA
POINT (-85.1371121 42.7785903),9374872,US,Lake Odessa Village Park,1103 Jordan Lake St,"Lake Odessa, MI  48849",United States,,,travel_and_leisure.beach,MI
POINT (-69.9809857 41.7994202),9376624,US,Town Cove,150 Old State Hwy,"Eastham, MA  02642",United States,,,travel_and_leisure.beach,MA
POINT (-88.3921881 46.8646455),9379857,US,Private Shoreline-west Of Cat Harbor,14178 Rock Beach Dr,MI  49946,United States,,,travel_and_leisure.beach,MI
POINT (-71.0423723 42.6865799),9381005,US,Stiles Pond Beach,10 Stiles Pond Rd,"Boxford, MA  01921",United States,,,travel_and_leisure.beach,MA
POINT (-74.2578042 41.096001),9381146,US,Little Beach Clubhouse,451 Lakeview Ave,"Ringwood, NJ  07456",United States,,,travel_and_leisure.beach,NJ
POINT (-90.6753802 46.8178373),9385702,US,Big Bay Town Park Beach,"La Pointe, WI 54850",United States,,,,travel_and_leisure.beach,WI
POINT (-88.8964536 45.5594449),9388627,US,City Beach,599 E Lakeview St,"Crandon, WI  54520",United States,,,travel_and_leisure.beach,WI
POINT (-72.5001845 40.8948854),9389325,US,Meschutt Beach,1 Canal Rd,"Hampton Bays, NY 11946",United States,,,travel_and_leisure.beach,NY
POINT (-94.6302223 29.452472),9389912,US,Crystal Beach,"Bolivar Peninsula, TX 77550",United States,,,,travel_and_leisure.beach,TX
POINT (-85.1488446 46.0501564),9391324,US,Public Shoreline Beach #2-manitou Paymen Highbanks,"Naubinway, MI  49762",United States,,,,travel_and_leisure.beach,MI
POINT (-65.8935843 17.991529),9397514,US,Playa Negra,,,,,,travel_and_leisure.beach,PR
POINT (-65.7360409 18.3814917),9398138,US,Pocita El Arrecife,"Luquillo, PR  00773",United States,,,,travel_and_leisure.beach,PR
POINT (-71.1722669 44.381428),9399961,US,Peabody River Libby Town Pool,47 Mill St,"Gorham, NH  03581",United States,,,travel_and_leisure.beach,NH
POINT (-89.6679282 35.0904935),9402931,US,River Beach,"Collierville, TN  38017",United States,,,,travel_and_leisure.beach,TN
POINT (-74.2071103 39.6107742),9404216,US,Maintained Ocean Beach,31 W Rhode Island Ave,"Long Beach Township, NJ  08008",United States,,,travel_and_leisure.beach,NJ
POINT (-93.6545904 29.7500334),9407520,US,Martin Beach,"Hackberry, LA  70645",United States,,,,travel_and_leisure.beach,LA
POINT (-157.83845 21.2814),9409110,US,Kahanamoku Beach,"Honolulu, HI",United States,,,,travel_and_leisure.beach,HI
POINT (-87.2753574 44.8352363),9409528,US,County Rd Tt,4602 CTH-TT,"Sturgeon Bay, WI  54235",United States,,,travel_and_leisure.beach,WI
POINT (-78.6037177 33.8397794),9411414,US,The Point in Cherry Grove,6300 N Ocean Blvd,"North Myrtle Beach, SC  29582",United States,,,travel_and_leisure.beach,SC
POINT (-157.787287 21.4349399),9411994,US,Coconut Island Beach,Moku o Loʻe,"Kaneohe HI, 96744",United States,,,travel_and_leisure.beach,HI
POINT (-123.0732955 48.4899315),9412646,US,Mt. Shadows Homeowners Beach,San Juan Island,WA,United States,,,travel_and_leisure.beach,WA
POINT (-81.1267698 29.4806258),9413613,US,City of Flagler Beach,105 S Second St,"Flagler Beach, FL  32136",United States,,,travel_and_leisure.beach,FL
POINT (-70.8901903 42.5433478),9414541,US,Goat Hill,28 Porter St,"Beverly, MA 01915",United States,,,travel_and_leisure.beach,MA
POINT (-83.083688 42.7247308),9428597,US,Eastwood Beach,"Washington, MI  48094",United States,,,,travel_and_leisure.beach,MI
POINT (-84.9994208 45.6647968),9431082,US,Public Shoreline Beach-huron National Forest North,7909 Sturgeon Bay Dr,MI  49740,United States,,,travel_and_leisure.beach,MI
POINT (-117.7477869 33.5045103),9431162,US,West Street Beach,CA-1 & West St,"Laguna Beach, CA 92651",United States,,,travel_and_leisure.beach,CA
POINT (-86.3972153 30.3791856),9433508,US,Destin Beach,2971 Scenic Gulf Dr,"Miramar Beach, FL  32550",United States,,,travel_and_leisure.beach,FL
POINT (-122.5620925 47.6771274),9434046,US,Manzanita Bay,12615 Manzanita Rd NE,"Bainbridge Island, WA  98110",United States,,,travel_and_leisure.beach,WA
POINT (-65.94 18.4472222),9434234,US,Playa de las Tres Palmitas,PR-187,"Loíza, PR  00772",United States,,,travel_and_leisure.beach,PR
POINT (-64.7033654 18.3038827),9438673,US,Blue Cobblestone Beach,Ram Head Trail,"Island subdivision not defined, United States Virgin Islands",United States,,,travel_and_leisure.beach,PR
POINT (-91.245638 43.872023),9439982,US,Airport Beach,542–608 Fisherman's Rd,"La Crosse, WI  54603",United States,,,travel_and_leisure.beach,WI
POINT (-80.4663937 27.8955963),9440429,US,Barefoot Bay Beach,8705 SR-A1A,"Melbourne Beach, FL  32951",United States,,,travel_and_leisure.beach,FL
POINT (-122.7669168 45.7400644),9441594,US,Willow Bar Beach,"Portland, OR 97231",United States,,,,travel_and_leisure.beach,WA
POINT (-67.89052 18.09054),9445426,US,Playa Negra Vieques Puerto Rico,Isla de Mona,"Isla de Mona e Islote Monito, PR  00680",United States,,,travel_and_leisure.beach,PR
POINT (-86.5787217 45.7754289),9446231,US,Private Shoreline Beach-north Of Black River,Garden Bay,"Garden, MI",United States,,,travel_and_leisure.beach,MI
POINT (-122.6139641 47.6578357),9447141,US,Brownsville,2585 NE Ortis Rd,"Poulsbo, WA  98370",United States,,,travel_and_leisure.beach,WA
POINT (-71.21663 43.39115),9448564,US,Hollywood Beach,Headley Ave,"Alton, NH  03809",United States,,,travel_and_leisure.beach,NH
POINT (-78.0157591 33.917899),9451673,US,"Cape Fear River, Southport Waterfront",240 E Bay St,"Southport, NC  28461",United States,,,travel_and_leisure.beach,NC
POINT (-158.103154 21.5985421),9461300,US,Haleʻiwa Beach Park,62-449 Kamehameha Hwy,"Haleiwa, HI  96712",United States,,,travel_and_leisure.beach,HI
POINT (-64.7315934 17.7623417),9466005,US,Beach access,4126 La Gr Princess,"Christiansted, United States Virgin Islands  00820",United States,,,travel_and_leisure.beach,PR
POINT (-64.8646276 18.3168934),9472169,US,Scott Beach,8A Catherineberg Rd,"St. Thomas, United States Virgin Islands 00802",United States,,,travel_and_leisure.beach,PR
POINT (-70.0865032 41.7685453),9472404,US,Breakwater Beach,200 Breakwater Rd,"Brewster, MA  02631",United States,,,travel_and_leisure.beach,MA
POINT (-80.1189244 25.8594987),9473270,US,73rd- 74th Street Beach,Miami Beach - North Beach,"Miami Beach, FL 33141",United States,,,travel_and_leisure.beach,FL
POINT (-73.2811033 44.3345185),9474660,US,Charlotte Town Beach,1371 Lake Rd,"Charlotte, VT  05445",United States,,,travel_and_leisure.beach,VT
POINT (-74.7105625 39.8912343),9477176,US,Town Beach,33 Holly Blvd,"Southampton, NJ  08088",United States,,,travel_and_leisure.beach,NJ
POINT (-73.3525 40.9174999),9479974,US,Steers Beach,1 Asharoken Ave,"Northport, NY 11768",United States,,,travel_and_leisure.beach,NY
POINT (-88.0451878 46.9120682),9480626,US,Mouth of Huron River,Huron River,"Marquette, MI",United States,,,travel_and_leisure.beach,MI
POINT (-87.5974171 45.138017),9483887,US,Lake Michigan-henes Park,Henes Park Dr,MI,United States,,,travel_and_leisure.beach,MI
POINT (-122.361024 47.499353),9487788,US,Shorewood on the Sound Beach,11455 21st Ave SW,"Seattle, WA  98146",United States,,,travel_and_leisure.beach,WA
POINT (-118.5353591 34.034411),9488393,US,Will Rogers State Beach,,,,,,travel_and_leisure.beach,CA
POINT (-85.88839 30.229406),9490095,US,Panama City Beach,17001 Panama City Beach Pkwy,"Panama City Beach, FL  32413",United States,,,travel_and_leisure.beach,FL
POINT (-76.4722897 38.9583846),9499565,US,Sparrows Beach,Annapolis Roads,"Annapolis, MD",United States,,,travel_and_leisure.beach,MD
POINT (-124.2136577 42.0052535),9501133,US,Winchuck State Recreation Site,"Brookings, OR  97415",United States,,,,travel_and_leisure.beach,OR
POINT (-71.4485161 41.4396097),9501209,US,Dunes Club Beach,"137 Boston Neck Rd
Narragansett, RI  02882
United States",,,,,travel_and_leisure.beach,RI
POINT (-82.7409584 27.7213847),9503138,US,St. Pete Beach Access,4700 Gulf Blvd,"St. Petersburg Beach, FL 33706",United States,,,travel_and_leisure.beach,FL
POINT (-165.9255605 59.877203),9505163,US,Oongalambingoi Dunes,Nunivak Island,AK,United States,,,travel_and_leisure.beach,AK
POINT (-118.1251619 33.7508496),9505369,US,Peninsula Beach,5535 E Ocean Blvd,"Long Beach, CA  90803",United States,,,travel_and_leisure.beach,CA
POINT (-70.1909852 41.648629),9509809,US,West Dennis Beach,"West Dennis, MA
United States",,,,,travel_and_leisure.beach,MA
POINT (-79.1243076 39.4259878),9514169,US,Shaw Beach,Jennings Randolph Rd,"Elk Garden, WV  26717",United States,,,travel_and_leisure.beach,WV
POINT (-67.23837 18.304549),9514245,US,Omega Beach,"Rincón, PR 00677",United States,,,,travel_and_leisure.beach,PR
POINT (-82.7085105 27.7372183),9516065,US,Gulfport Municipal Beach,5598 Shore Blvd S,"Gulfport, FL 33707",United States,,,travel_and_leisure.beach,FL
POINT (-81.9666339 26.4830864),9516906,US,San Carlos Bay-Bunche Beach Preserve,18201 John Morris Road,"Fort Myers, FL 33908",United States,,,travel_and_leisure.beach,FL
POINT (-85.1634836 45.1820973),9520565,US,Elm Point Beach,Lake Charlevoix,"East Jordan, MI",United States,,,travel_and_leisure.beach,MI
POINT (-71.0163331 42.2799601),9524661,US,Wollaston Beach,,,,,,travel_and_leisure.beach,MA
POINT (-71.3497963 43.6647476),9529414,US,Moultonborough Town Beach,62–76 Long Island Rd,"Moultonborough, NH  03254",United States,,,travel_and_leisure.beach,NH
POINT (144.6612135 13.4056997),9532029,US,Rizal Beach,"Santa Rita, Guam  96910",United States,,,,travel_and_leisure.beach,PR
POINT (-74.6630083 41.0333856),9533870,US,Upper Lake Beach,63 S Shore Trail,"Sparta, NJ  07871",United States,,,travel_and_leisure.beach,NJ
POINT (-120.2393585 39.3259073),9537622,US,East Beach,12593 Donner Pass Rd,"Truckee, CA  96161",United States,,,travel_and_leisure.beach,CA
POINT (-124.2073917 47.2122224),9537947,US,Pacific Beach,48 Main St,"Pacific Beach, WA  98571",United States,,,travel_and_leisure.beach,WA
POINT (-86.3453685 44.2461405),9539680,US,First Street Beach,1249 Lakeshore Rd,"Manistee, MI  49660",United States,,,travel_and_leisure.beach,MI
POINT (-70.6570457 41.5423341),9541491,US,Fishermen’s Beach,48 Quissett Harbor Rd,"Falmouth, MA  02540",United States,,,travel_and_leisure.beach,MA
POINT (-72.1013889 44.9186111),9543326,US,Balm of Gilead Beach,105 Hayward Rd,"Newport, VT  05829",United States,,,travel_and_leisure.beach,VT
POINT (-70.9691012 42.3638276),9544018,US,Yirrell Beach,Shirley St,"Winthrop, MA 02152",United States,,,travel_and_leisure.beach,MA
POINT (-156.3671845 20.9293355),9547264,US,Beach At Mama's Fish House,799 Poho Pl,"Paia, HI  96779",United States,,,travel_and_leisure.beach,HI
POINT (-159.4976979 22.2084991),9551980,US,Hanalei Beach,5050 Weke Rd,HI  96741,United States,,,travel_and_leisure.beach,HI
POINT (-82.5439739 41.3960308),9555169,US,Nickel Plate Beach,1 McKinley St,"Huron, OH  44839",United States,,,travel_and_leisure.beach,OH
